Regione;Cave;ScuoleSuperiori;ClassiScuoleSuperiori;IscrittiScuoleSuperiori;RipetentiScuoleSuperiori;FatturatoAziende;Lavoratori;UtilizzoInternet;IscrittiUniversità;Musei;ParchiArcheologici;Monumenti;Superfici;ViaggiVacanze;TuttiViaggi;Popolazione2030;Popolazione2050;Popolazione2070
Piemonte;321;396;8394;174388;10881;233946247;950372;71,2;107034;362;6;59;25386,6971;1079;1271;4138676;3828281;3390709
ValledAosta;26;26;292;5528;284;5780066;25711;70;1096;68;5;11;3260,8546;405;405;119109;108509;94504
Liguria;64;137;2865;61394;4658;81545553;313170;70,2;31339;202;2;13;5416,152;1538;1691;1452852;1342068;1200322
Lombardia;386;1015;18825;398786;26142;845754113;2744821;73,9;249147;361;19;29;23863,0973;2600;3052;9976435;9853096;9177089
TrentinoAltoAdige;248;102;2302;41538;2515;72396078;278371;75,4;19869;163;6;20;13604,7211;3383;3419;1109464;1150782;1125807
Veneto;347;462;9680;208079;11976;325395197;1280501;73,1;102927;290;3;22;18345,3694;2456;2672;4813631;4650081;4220109
Friuli-VeneziaGiulia;55;135;2608;48980;3262;64742445;274149;74,6;28002;162;9;14;7932,4822;427;449;1174037;1116378;1014541
Emilia-Romagna;173;350;8667;191040;12535;314503700;1185482;75,2;139553;428;8;42;22444,542;3517;3764;4471743;4440815;4099565
Toscana;315;370;8005;162822;12319;203974006;818060;73,7;109567;446;21;81;22987,4371;3750;3908;3624143;3474779;3128740
Umbria;68;96;1856;37688;1506;35591275;165637;69,2;23604;140;9;27;8464,2234;503;514;836695;768378;658529
Marche;169;195;3541;70614;3751;70478281;333164;70;44940;303;15;27;9401,1839;1299;1388;1450001;1323930;1129967
Lazio;190;668;12377;251672;13986;381744118;1197615;73,5;242022;281;30;37;17231,7227;1699;1923;5656939;5391561;4782827
Abruzzo;130;153;2868;56415;3073;48683057;237895;69,2;47733;102;7;12;10831,4964;894;919;1239065;1108578;922233
Molise;46;48;713;13493;574;7546186;40431;64;7681;29;6;7;4460,4373;218;225;275477;234514;187946
Campania;52;928;16468;325015;21295;161563500;793300;64,7;193170;160;24;35;13670,598;1942;2029;5470052;4880855;4055901
Puglia;337;477;9855;203342;12552;109269117;570288;62,4;81002;128;7;18;19540,5181;1872;1975;3741421;3229438;2574546
Basilicata;50;106;1543;29215;1439;17533909;84151;63,1;7028;37;5;1;10073,1105;180;188;510331;422120;325374
Calabria;41;312;5116;95406;5284;30232119;177437;62,1;41818;155;8;9;15221,6149;895;950;1774491;1527079;1238414
Sicilia;256;733;12575;242549;17574;107143930;528157;67,2;112151;175;42;40;25832,5454;1895;1941;4610483;3997675;3277881
Sardegna;201;211;3977;72712;8614;43817138;221258;67,7;38097;166;50;32;24099,453;1411;1446;1509963;1272392;981168
